,index of state,state,value,policy
0,0,"(6, ('1', '1'))",2.0,stop
1,1,"(5, ('0', '1'))",1.0,stop
2,2,"(15, ('1', '1'))",2.0,stop
3,3,"(9, ('0', '0'))",0.0,0
4,4,v_sink,0.0,0
5,5,"(12, ('1', '0'))",2.0,stop
6,6,"(0, ('0', '0'))",0.0,0
7,7,"(4, ('1', '1'))",2.0,stop
8,8,"(11, ('0', '0'))",0.99,1
9,9,"(3, ('1', '0'))",2.0,stop
10,10,"(14, ('1', '0'))",2.0,stop
11,11,"(2, ('0', '0'))",0.9702989999999999,1
12,12,"(13, ('0', '0'))",0.0,0
13,13,"(5, ('1', '0'))",2.0,stop
14,14,"(6, ('0', '0'))",0.9801,1
15,15,"(15, ('0', '0'))",0.0,0
16,16,"(8, ('1', '1'))",2.0,stop
17,17,"(7, ('0', '1'))",1.0,stop
18,18,"(1, ('1', '1'))",2.0,stop
19,19,"(10, ('1', '1'))",2.0,stop
20,20,"(4, ('0', '0'))",1.98,3
21,21,"(7, ('1', '0'))",2.0,stop
22,22,"(14, ('0', '1'))",1.0,stop
23,23,"(9, ('0', '1'))",1.0,stop
24,24,"(8, ('0', '0'))",1.98,0
25,25,"(12, ('1', '1'))",2.0,stop
26,26,"(13, ('0', '1'))",1.0,stop
27,27,"(1, ('0', '0'))",0.96059601,1
28,28,"(0, ('0', '1'))",1.0,stop
29,29,"(10, ('0', '0'))",0.99,1
30,30,"(3, ('1', '1'))",2.0,stop
31,31,"(11, ('0', '1'))",1.0,stop
32,32,"(2, ('0', '1'))",1.0,stop
33,33,"(13, ('1', '1'))",2.0,stop
34,34,"(14, ('1', '1'))",2.0,stop
35,35,"(5, ('1', '1'))",2.0,stop
36,36,"(6, ('0', '1'))",1.0,stop
37,37,"(15, ('0', '1'))",1.0,stop
38,38,"(9, ('1', '0'))",2.0,stop
39,39,"(0, ('1', '0'))",2.0,stop
40,40,"(11, ('1', '0'))",2.0,stop
41,41,"(2, ('1', '0'))",2.0,stop
42,42,"(13, ('1', '0'))",2.0,stop
43,43,"(12, ('0', '0'))",1.9602,0
44,44,"(4, ('0', '1'))",1.98,3
45,45,"(15, ('1', '0'))",2.0,stop
46,46,"(3, ('0', '0'))",0.9801,2
47,47,"(7, ('1', '1'))",2.0,stop
48,48,"(8, ('0', '1'))",1.98,0
49,49,"(6, ('1', '0'))",2.0,stop
50,50,"(14, ('0', '0'))",0.9801,0
51,51,"(5, ('0', '0'))",0.0,0
52,52,"(10, ('0', '1'))",1.0,stop
53,53,"(1, ('0', '1'))",1.0,stop
54,54,"(4, ('1', '0'))",2.0,stop
55,55,"(11, ('1', '1'))",2.0,stop
56,56,"(9, ('1', '1'))",2.0,stop
57,57,"(8, ('1', '0'))",2.0,stop
58,58,"(7, ('0', '0'))",0.99,2
59,59,"(0, ('1', '1'))",2.0,stop
60,60,"(10, ('1', '0'))",2.0,stop
61,61,"(2, ('1', '1'))",2.0,stop
62,62,"(3, ('0', '1'))",1.0,stop
63,63,"(1, ('1', '0'))",2.0,stop
64,64,"(12, ('0', '1'))",1.9602,0
