,index of state,state,value,policy
0,0,"(0, (('1', '0'), '1'))",3.0,stop
1,1,"(11, (('1', '0'), '1'))",3.0,stop
2,2,"(15, (('1', '0'), '1'))",3.0,stop
3,3,"(7, (('2', '1'), '1'))",2.0,stop
4,4,"(10, (('1', '1'), '1'))",3.0,stop
5,5,"(2, (('2', '1'), '0'))",2.0,stop
6,6,"(9, (('2', '1'), '1'))",2.0,stop
7,7,"(6, (('2', '1'), '0'))",2.0,stop
8,8,"(13, (('2', '1'), '1'))",2.0,stop
9,9,"(12, (('1', '1'), '1'))",3.0,stop
10,10,"(4, (('2', '1'), '0'))",2.0,stop
11,11,"(0, (('0', '0'), '0'))",0.0,0
12,12,"(11, (('0', '0'), '0'))",2.9699999999999998,1
13,13,"(8, (('2', '1'), '0'))",2.0,stop
14,14,"(15, (('0', '0'), '0'))",0.0,0
15,15,"(5, (('1', '0'), '1'))",3.0,stop
16,16,"(1, (('2', '1'), '1'))",2.0,stop
17,17,"(7, (('1', '0'), '1'))",3.0,stop
18,18,"(3, (('2', '1'), '1'))",2.0,stop
19,19,"(2, (('1', '1'), '1'))",3.0,stop
20,20,"(14, (('2', '1'), '1'))",2.0,stop
21,21,"(9, (('1', '0'), '1'))",3.0,stop
22,22,"(6, (('1', '1'), '1'))",3.0,stop
23,23,"(13, (('1', '0'), '1'))",3.0,stop
24,24,"(4, (('1', '1'), '1'))",3.0,stop
25,25,"(5, (('0', '0'), '0'))",0.0,0
26,26,"(8, (('1', '1'), '1'))",3.0,stop
27,27,"(0, (('2', '1'), '0'))",2.0,stop
28,28,"(11, (('2', '1'), '0'))",2.0,stop
29,29,"(7, (('0', '0'), '0'))",2.9699999999999998,2
30,30,"(15, (('2', '1'), '0'))",2.0,stop
31,31,"(1, (('1', '0'), '1'))",3.0,stop
32,32,"(9, (('0', '0'), '0'))",0.0,0
33,33,"(13, (('0', '0'), '0'))",2.910897,1
34,34,"(3, (('1', '0'), '1'))",3.0,stop
35,35,"(14, (('1', '0'), '1'))",3.0,stop
36,36,"(10, (('2', '1'), '1'))",2.0,stop
37,37,"(5, (('2', '1'), '0'))",2.0,stop
38,38,"(12, (('2', '1'), '1'))",2.0,stop
39,39,"(0, (('1', '1'), '1'))",3.0,stop
40,40,"(1, (('0', '0'), '0'))",2.8817880299999996,1
41,41,"(11, (('1', '1'), '1'))",3.0,stop
42,42,"(15, (('1', '1'), '1'))",3.0,stop
43,43,"(7, (('2', '1'), '0'))",2.0,stop
44,44,v_sink,0.0,0
45,45,"(3, (('0', '0'), '0'))",2.9402999999999997,2
46,46,"(14, (('0', '0'), '0'))",2.9402999999999997,0
47,47,"(9, (('2', '1'), '0'))",2.0,stop
48,48,"(13, (('2', '1'), '0'))",2.0,stop
49,49,"(10, (('1', '0'), '1'))",3.0,stop
50,50,"(2, (('2', '1'), '1'))",2.0,stop
51,51,"(6, (('2', '1'), '1'))",2.0,stop
52,52,"(5, (('1', '1'), '1'))",3.0,stop
53,53,"(12, (('1', '0'), '1'))",3.0,stop
54,54,"(4, (('2', '1'), '1'))",2.0,stop
55,55,"(1, (('2', '1'), '0'))",2.0,stop
56,56,"(8, (('2', '1'), '1'))",2.0,stop
57,57,"(7, (('1', '1'), '1'))",3.0,stop
58,58,"(3, (('2', '1'), '0'))",2.0,stop
59,59,"(14, (('2', '1'), '0'))",2.0,stop
60,60,"(9, (('1', '1'), '1'))",3.0,stop
61,61,"(10, (('0', '0'), '0'))",2.9699999999999998,1
62,62,"(13, (('1', '1'), '1'))",3.0,stop
63,63,"(12, (('0', '0'), '0'))",2.8817880299999996,1
64,64,"(2, (('1', '0'), '1'))",3.0,stop
65,65,"(6, (('1', '0'), '1'))",3.0,stop
66,66,"(4, (('1', '0'), '1'))",3.0,stop
67,67,"(1, (('1', '1'), '1'))",3.0,stop
68,68,"(8, (('1', '0'), '1'))",3.0,stop
69,69,"(0, (('2', '1'), '1'))",2.0,stop
70,70,"(11, (('2', '1'), '1'))",2.0,stop
71,71,"(15, (('2', '1'), '1'))",2.0,stop
72,72,"(3, (('1', '1'), '1'))",3.0,stop
73,73,"(14, (('1', '1'), '1'))",3.0,stop
74,74,"(2, (('0', '0'), '0'))",2.910897,1
75,75,"(10, (('2', '1'), '0'))",2.0,stop
76,76,"(6, (('0', '0'), '0'))",2.9402999999999997,1
77,77,"(4, (('0', '0'), '0'))",2.8244404482029997,2
78,78,"(12, (('2', '1'), '0'))",2.0,stop
79,79,"(8, (('0', '0'), '0'))",2.8529701496999995,2
80,80,"(5, (('2', '1'), '1'))",2.0,stop
