	State	Value
145	((3, 5), ('0', '0'))	1.755349223060181
146	((3, 5), ('0', '1'))	1.8516321691294488
147	((3, 5), 'sink')	0.0
148	((3, 5), ('1', '0'))	2.0
149	((3, 5), ('1', '1'))	2.0
150	((3, 6), ('0', '0'))	0.0
151	((3, 6), ('0', '1'))	1.0
152	((3, 6), 'sink')	0.0
153	((3, 6), ('1', '0'))	2.0
154	((3, 6), ('1', '1'))	2.0
155	((3, 7), ('0', '0'))	0.0
156	((3, 7), ('0', '1'))	1.0
157	((3, 7), 'sink')	0.0
158	((3, 7), ('1', '0'))	2.0
159	((3, 7), ('1', '1'))	2.0
160	((4, 0), ('0', '0'))	1.4926645621904442
161	((4, 0), ('0', '1'))	1.6231550669033634
162	((4, 0), 'sink')	0.0
163	((4, 0), ('1', '0'))	2.0
164	((4, 0), ('1', '1'))	2.0
165	((4, 1), ('0', '0'))	1.4747169442028913
166	((4, 1), ('0', '1'))	1.6075679073226996
167	((4, 1), 'sink')	0.0
168	((4, 1), ('1', '0'))	2.0
169	((4, 1), ('1', '1'))	2.0
170	((4, 2), ('0', '0'))	0.0
171	((4, 2), ('0', '1'))	1.0
172	((4, 2), 'sink')	0.0
173	((4, 2), ('1', '0'))	2.0
174	((4, 2), ('1', '1'))	2.0
175	((4, 3), ('0', '0'))	0.0
176	((4, 3), ('0', '1'))	1.0
177	((4, 3), 'sink')	0.0
178	((4, 3), ('1', '0'))	2.0
179	((4, 3), ('1', '1'))	2.0
180	((4, 4), ('0', '0'))	1.906876747312691
181	((4, 4), ('0', '1'))	1.9285917947297855
182	((4, 4), 'sink')	0.0
183	((4, 4), ('1', '0'))	2.0
184	((4, 4), ('1', '1'))	2.0
185	((4, 5), ('0', '0'))	1.9456595175116056
186	((4, 5), ('0', '1'))	1.9575587228198934
187	((4, 5), 'sink')	0.0
188	((4, 5), ('1', '0'))	2.0
189	((4, 5), ('1', '1'))	2.0
190	((4, 6), ('0', '0'))	0.0
191	((4, 6), ('0', '1'))	1.0
192	((4, 6), 'sink')	0.0
193	((4, 6), ('1', '0'))	2.0
194	((4, 6), ('1', '1'))	2.0
195	((4, 7), ('0', '0'))	0.0
196	((4, 7), ('0', '1'))	1.0
197	((4, 7), 'sink')	0.0
198	((4, 7), ('1', '0'))	2.0
199	((4, 7), ('1', '1'))	2.0
200	((5, 0), ('0', '0'))	1.472494175021802
201	((5, 0), ('0', '1'))	1.6455978440088168
202	((5, 0), 'sink')	0.0
203	((5, 0), ('1', '0'))	2.0
204	((5, 0), ('1', '1'))	2.0
205	((5, 1), ('0', '0'))	1.4598678630284012
206	((5, 1), ('0', '1'))	1.6713855334677612
207	((5, 1), 'sink')	0.0
208	((5, 1), ('1', '0'))	2.0
209	((5, 1), ('1', '1'))	2.0
210	((5, 2), ('0', '0'))	1.4759103019449806
211	((5, 2), ('0', '1'))	1.7029758119806333
212	((5, 2), 'sink')	0.0
213	((5, 2), ('1', '0'))	2.0
214	((5, 2), ('1', '1'))	2.0
215	((5, 3), ('0', '0'))	1.681268973558844
216	((5, 3), ('0', '1'))	1.8151181203204194
217	((5, 3), 'sink')	0.0
218	((5, 3), ('1', '0'))	2.0
219	((5, 3), ('1', '1'))	2.0
220	((5, 4), ('0', '0'))	1.9383255728109734
221	((5, 4), ('0', '1'))	1.9539438319877995
222	((5, 4), 'sink')	0.0
223	((5, 4), ('1', '0'))	2.0
224	((5, 4), ('1', '1'))	2.0
225	((5, 5), ('0', '0'))	1.8977772164509867
226	((5, 5), ('0', '1'))	1.9216882633947248
227	((5, 5), 'sink')	0.0
228	((5, 5), ('1', '0'))	2.0
229	((5, 5), ('1', '1'))	2.0
230	((5, 6), ('0', '0'))	1.6658651199344305
231	((5, 6), ('0', '1'))	1.7965789449957288
232	((5, 6), 'sink')	0.0
233	((5, 6), ('1', '0'))	2.0
234	((5, 6), ('1', '1'))	2.0
235	((5, 7), ('0', '0'))	1.6073867326774822
