Description,Trajectory,States
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 2, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 8, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_disj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 4, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_disj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 4, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
mdp_deterministic_gridworld_feasible_a_automaton_conj_wdfa3112,"[((1, (('0', '0'), ('0', '0'))),), (1, 0.0, (2, (('0', '0'), ('0', '0')))), (1, 0.0, (3, (('0', '0'), ('0', '0')))), (2, 0.0, (7, (('0', '0'), ('0', '0')))), (2, 0.0, (11, (('1', '0'), ('0', '1')))), ('stop', 3, 'v_sink')]","[1, 2, 3, 7, 11, 'v']"
