	State	Value
0	((0, 0), '2')	1.0
1	((0, 0), '1')	0.986163010476309
2	((0, 0), '0')	0.3919104015494684
3	((0, 0), 'sink')	0.0
4	((0, 1), '2')	1.0
5	((0, 1), '1')	0.9750795195874176
6	((0, 1), '0')	0.3879363580767895
7	((0, 1), 'sink')	0.0
8	((0, 2), '2')	1.0
9	((0, 2), '1')	0.963496175262837
10	((0, 2), '0')	0.3835636025445493
11	((0, 2), 'sink')	0.0
12	((0, 3), '2')	1.0
13	((0, 3), '1')	0.0
14	((0, 3), '0')	0.0
15	((0, 3), 'sink')	0.0
16	((0, 4), '2')	1.0
17	((0, 4), '1')	0.0
18	((0, 4), '0')	0.0
19	((0, 4), 'sink')	0.0
20	((0, 5), '2')	1.0
21	((0, 5), '1')	0.5273277630172833
22	((0, 5), '0')	0.525483587399742
23	((0, 5), 'sink')	0.0
24	((0, 6), '2')	1.0
25	((0, 6), '1')	0.5315878508526035
26	((0, 6), '0')	0.5313854634972944
27	((0, 6), 'sink')	0.0
28	((0, 7), '2')	1.0
29	((0, 7), '1')	0.5256878747055159
30	((0, 7), '0')	0.5254877336027628
31	((0, 7), 'sink')	0.0
32	((1, 0), '2')	1.0
33	((1, 0), '1')	0.9872425558834922
34	((1, 0), '0')	0.3973555206394809
35	((1, 0), 'sink')	0.0
36	((1, 1), '2')	1.0
37	((1, 1), '1')	0.9849044732426913
38	((1, 1), '0')	0.39288438342358795
39	((1, 1), 'sink')	0.0
40	((1, 2), '2')	1.0
41	((1, 2), '1')	0.9681522666523384
42	((1, 2), '0')	0.3873253565234522
43	((1, 2), 'sink')	0.0
44	((1, 3), '2')	1.0
45	((1, 3), '1')	0.0
46	((1, 3), '0')	0.0
47	((1, 3), 'sink')	0.0
48	((1, 4), '2')	1.0
49	((1, 4), '1')	0.0
50	((1, 4), '0')	0.0
51	((1, 4), 'sink')	0.0
52	((1, 5), '2')	1.0
53	((1, 5), '1')	0.5465124909425277
54	((1, 5), '0')	0.531347728861721
55	((1, 5), 'sink')	0.0
56	((1, 6), '2')	1.0
57	((1, 6), '1')	0.5395698266642
58	((1, 6), '0')	0.5260678731333996
59	((1, 6), 'sink')	0.0
60	((1, 7), '2')	1.0
61	((1, 7), '1')	0.5315878508526035
62	((1, 7), '0')	0.5313854634972944
63	((1, 7), 'sink')	0.0
64	((2, 0), '2')	1.0
65	((2, 0), '1')	0.9859840186498745
66	((2, 0), '0')	0.40293152795105686
67	((2, 0), 'sink')	0.0
68	((2, 1), '2')	1.0
69	((2, 1), '1')	0.9734505131670396
70	((2, 1), '0')	0.3979810310409819
71	((2, 1), 'sink')	0.0
72	((2, 2), '2')	1.0
73	((2, 2), '1')	0.936583863566729
74	((2, 2), '0')	0.3857386686874753
75	((2, 2), 'sink')	0.0
76	((2, 3), '2')	1.0
77	((2, 3), '1')	0.7417744199448494
78	((2, 3), '0')	0.3997663055337804
79	((2, 3), 'sink')	0.0
80	((2, 4), '2')	1.0
81	((2, 4), '1')	0.6451487876389962
82	((2, 4), '0')	0.5047554362800257
83	((2, 4), 'sink')	0.0
84	((2, 5), '2')	1.0
85	((2, 5), '1')	0.6225947955843081
86	((2, 5), '0')	0.5251065756676772
87	((2, 5), 'sink')	0.0
88	((2, 6), '2')	1.0
89	((2, 6), '1')	0.5465124909425277
90	((2, 6), '0')	0.531347728861721
91	((2, 6), 'sink')	0.0
92	((2, 7), '2')	1.0
93	((2, 7), '1')	0.5273277630172833
94	((2, 7), '0')	0.525483587399742
95	((2, 7), 'sink')	0.0
96	((3, 0), '2')	1.0
97	((3, 0), '1')	0.9721919759334219
98	((3, 0), '0')	0.4086378593571275
99	((3, 0), 'sink')	0.0
100	((3, 1), '2')	1.0
101	((3, 1), '1')	0.960056843892044
102	((3, 1), '0')	0.4036738075233296
103	((3, 1), 'sink')	0.0
104	((3, 2), '2')	1.0
105	((3, 2), '1')	0.0
106	((3, 2), '0')	0.0
107	((3, 2), 'sink')	0.0
108	((3, 3), '2')	1.0
109	((3, 3), '1')	0.0
110	((3, 3), '0')	0.0
111	((3, 3), 'sink')	0.0
112	((3, 4), '2')	1.0
113	((3, 4), '1')	0.5824590610371262
114	((3, 4), '0')	0.5217083599003552
115	((3, 4), 'sink')	0.0
116	((3, 5), '2')	1.0
117	((3, 5), '1')	0.5811335269789155
118	((3, 5), '0')	0.5219772651705528
119	((3, 5), 'sink')	0.0
120	((3, 6), '2')	1.0
121	((3, 6), '1')	0.0
122	((3, 6), '0')	0.0
123	((3, 6), 'sink')	0.0
124	((3, 7), '2')	1.0
125	((3, 7), '1')	0.0
126	((3, 7), '0')	0.0
127	((3, 7), 'sink')	0.0
128	((4, 0), '2')	1.0
129	((4, 0), '1')	0.9585851754589425
130	((4, 0), '0')	0.4144179347676291
131	((4, 0), 'sink')	0.0
132	((4, 1), '2')	1.0
133	((4, 1), '1')	0.9465575570629999
134	((4, 1), '0')	0.4104293014083579
135	((4, 1), 'sink')	0.0
136	((4, 2), '2')	1.0
137	((4, 2), '1')	0.0
138	((4, 2), '0')	0.0
139	((4, 2), 'sink')	0.0
140	((4, 3), '2')	1.0
141	((4, 3), '1')	0.0
142	((4, 3), '0')	0.0
143	((4, 3), 'sink')	0.0
144	((4, 4), '2')	1.0
145	((4, 4), '1')	0.5892078554905491
146	((4, 4), '0')	0.5625763596960814
147	((4, 4), 'sink')	0.0
148	((4, 5), '2')	1.0
149	((4, 5), '1')	0.5877683421683346
150	((4, 5), '0')	0.5737241731148616
151	((4, 5), 'sink')	0.0
152	((4, 6), '2')	1.0
153	((4, 6), '1')	0.0
154	((4, 6), '0')	0.0
155	((4, 6), 'sink')	0.0
156	((4, 7), '2')	1.0
157	((4, 7), '1')	0.0
158	((4, 7), '0')	0.0
159	((4, 7), 'sink')	0.0
160	((5, 0), '2')	1.0
161	((5, 0), '1')	0.9450742835934379
162	((5, 0), '0')	0.4201490636189475
163	((5, 0), 'sink')	0.0
164	((5, 1), '2')	1.0
165	((5, 1), '1')	0.9324491975172245
166	((5, 1), '0')	0.42673323361198
167	((5, 1), 'sink')	0.0
168	((5, 2), '2')	1.0
169	((5, 2), '1')	0.8193679359493108
170	((5, 2), '0')	0.4348000332494553
171	((5, 2), 'sink')	0.0
172	((5, 3), '2')	1.0
173	((5, 3), '1')	0.7685064694787481
174	((5, 3), '0')	0.49534669896350353
175	((5, 3), 'sink')	0.0
176	((5, 4), '2')	1.0
177	((5, 4), '1')	0.6669887015207329
178	((5, 4), '0')	0.5710877470603648
179	((5, 4), 'sink')	0.0
180	((5, 5), '2')	1.0
181	((5, 5), '1')	0.6422575903930019
182	((5, 5), '0')	0.5595535587319511
183	((5, 5), 'sink')	0.0
184	((5, 6), '2')	1.0
185	((5, 6), '1')	0.5637724536759231
186	((5, 6), '0')	0.4911750168283322
187	((5, 6), 'sink')	0.0
188	((5, 7), '2')	1.0
189	((5, 7), '1')	0.5439818334892428
190	((5, 7), '0')	0.47393285088025344
191	((5, 7), 'sink')	0.0
192	((6, 0), '2')	1.0
193	((6, 0), '1')	0.9308990004084212
194	((6, 0), '0')	0.41564613188145433
195	((6, 0), 'sink')	0.0
196	((6, 1), '2')	1.0
197	((6, 1), '1')	0.9115269369897446
198	((6, 1), '0')	0.4216071357473128
199	((6, 1), 'sink')	0.0
200	((6, 2), '2')	1.0
201	((6, 2), '1')	0.8168502173299907
202	((6, 2), '0')	0.4291459360642487
203	((6, 2), 'sink')	0.0
204	((6, 3), '2')	1.0
205	((6, 3), '1')	0.7845418716783009
206	((6, 3), '0')	0.4348000332494553
207	((6, 3), 'sink')	0.0
208	((6, 4), '2')	1.0
209	((6, 4), '1')	0.0
210	((6, 4), '0')	0.0
211	((6, 4), 'sink')	0.0
212	((6, 5), '2')	1.0
213	((6, 5), '1')	0.5637724536759231
214	((6, 5), '0')	0.4911750168283322
215	((6, 5), 'sink')	0.0
216	((6, 6), '2')	1.0
217	((6, 6), '1')	0.556610526107734
218	((6, 6), '0')	0.4849353364911819
219	((6, 6), 'sink')	0.0
220	((6, 7), '2')	1.0
221	((6, 7), '1')	0.5483764634594589
222	((6, 7), '0')	0.4777615807791711
223	((6, 7), 'sink')	0.0
224	((7, 0), '2')	1.0
225	((7, 0), '1')	0.8454954223893004
226	((7, 0), '0')	0.37751345923177954
227	((7, 0), 'sink')	0.0
228	((7, 1), '2')	1.0
229	((7, 1), '1')	0.0
230	((7, 1), '0')	0.0
231	((7, 1), 'sink')	0.0
232	((7, 2), '2')	1.0
233	((7, 2), '1')	0.0
234	((7, 2), '0')	0.0
235	((7, 2), 'sink')	0.0
236	((7, 3), '2')	1.0
237	((7, 3), '1')	0.6213571623692139
238	((7, 3), '0')	0.34436162633356865
239	((7, 3), 'sink')	0.0
240	((7, 4), '2')	1.0
241	((7, 4), '1')	0.0
242	((7, 4), '0')	0.0
243	((7, 4), 'sink')	0.0
244	((7, 5), '2')	1.0
245	((7, 5), '1')	0.5439818334892427
246	((7, 5), '0')	0.47393285088025344
247	((7, 5), 'sink')	0.0
248	((7, 6), '2')	1.0
249	((7, 6), '1')	0.5483764634594589
250	((7, 6), '0')	0.4777615807791712
251	((7, 6), 'sink')	0.0
252	((7, 7), '2')	1.0
253	((7, 7), '1')	0.5422901542090763
254	((7, 7), '0')	0.4724590105152513
255	((7, 7), 'sink')	0.0
256	('sT', '2')	1.0
257	('sT', '1')	0.0
258	('sT', '0')	0.0
259	('sT', 'sink')	0.0
