	State	Value
0	((0, 0), ('0', '5'))	0.19316104308500107
1	((0, 0), ('4', '0'))	0.0
2	((0, 0), ('2', '0'))	0.21078399297260647
3	((0, 0), ('3', '4'))	0.5505742236202553
4	((0, 0), ('2', '4'))	0.21078399297260642
5	((0, 0), ('3', '0'))	0.26785361825694964
6	((0, 0), ('4', '5'))	0.0
7	((0, 0), ('0', '3'))	0.19316104308500096
8	((0, 0), ('1', '1'))	0.3918706377482555
9	((0, 0), ('3', '5'))	1.0
10	((0, 0), ('2', '5'))	0.3060668121712011
11	((0, 0), ('4', '3'))	0.0
12	((0, 0), ('1', '2'))	0.986163010476309
13	((0, 0), ('2', '3'))	0.21078399297260558
14	((0, 0), ('3', '3'))	0.5492474342645842
15	((0, 0), ('0', '1'))	0.19316104308500096
16	((0, 0), ('1', '0'))	0.26785361825694937
17	((0, 0), ('1', '4'))	0.5492474342645842
18	((0, 0), ('0', '2'))	0.19316104308500096
19	((0, 0), ('4', '1'))	0.0
20	((0, 0), ('4', '2'))	0.0
21	((0, 0), ('1', '5'))	0.986163010476309
22	((0, 0), ('3', '1'))	0.39187063774825937
23	((0, 0), ('2', '1'))	0.30606681217119924
24	((0, 0), ('2', '2'))	0.3060668121711995
25	((0, 0), ('3', '2'))	0.986163010476309
26	((0, 0), ('1', '3'))	0.5492474342645842
27	((0, 0), ('0', '4'))	0.19316104308500096
28	((0, 0), ('0', '0'))	0.19316104308500118
29	((0, 0), 'sink')	0.0
30	((0, 0), ('4', '4'))	0.0
31	((0, 1), ('0', '5'))	0.2126722595582335
32	((0, 1), ('4', '0'))	0.0
33	((0, 1), ('2', '0'))	0.2320753053940818
34	((0, 1), ('3', '4'))	0.5551495630047991
35	((0, 1), ('2', '4'))	0.23207530539408175
36	((0, 1), ('3', '0'))	0.26520416027520244
37	((0, 1), ('4', '5'))	0.0
38	((0, 1), ('0', '3'))	0.21267225955823332
39	((0, 1), ('1', '1'))	0.38789223494937847
40	((0, 1), ('3', '5'))	1.0
41	((0, 1), ('2', '5'))	0.33698265178445364
42	((0, 1), ('4', '3'))	0.0
43	((0, 1), ('1', '2'))	0.9750795195874176
44	((0, 1), ('2', '3'))	0.23207530539408086
45	((0, 1), ('3', '3'))	0.5430744396769243
46	((0, 1), ('0', '1'))	0.21267225955823335
47	((0, 1), ('1', '0'))	0.26520416027519994
48	((0, 1), ('1', '4'))	0.5430744396769243
49	((0, 1), ('0', '2'))	0.21267225955823332
50	((0, 1), ('4', '1'))	0.0
51	((0, 1), ('4', '2'))	0.0
52	((0, 1), ('1', '5'))	0.9750795195874176
53	((0, 1), ('3', '1'))	0.38789223494941405
54	((0, 1), ('2', '1'))	0.3369826517844516
55	((0, 1), ('2', '2'))	0.3369826517844519
56	((0, 1), ('3', '2'))	0.9750795195874176
57	((0, 1), ('1', '3'))	0.5430744396769243
58	((0, 1), ('0', '4'))	0.21267225955823332
59	((0, 1), ('0', '0'))	0.21267225955823357
60	((0, 1), 'sink')	0.0
61	((0, 1), ('4', '4'))	0.0
62	((0, 2), ('0', '5'))	0.21097794853218668
63	((0, 2), ('4', '0'))	0.0
64	((0, 2), ('2', '0'))	0.229978742053539
65	((0, 2), ('3', '4'))	0.5493412373057164
66	((0, 2), ('2', '4'))	0.22997874205353894
67	((0, 2), ('3', '0'))	0.2622377096730818
68	((0, 2), ('4', '5'))	0.0
69	((0, 2), ('0', '3'))	0.2109779485321866
70	((0, 2), ('1', '1'))	0.3835145789834991
71	((0, 2), ('3', '5'))	1.0
72	((0, 2), ('2', '5'))	0.33370182449749486
73	((0, 2), ('4', '3'))	0.0
74	((0, 2), ('1', '2'))	0.963496175262837
75	((0, 2), ('2', '3'))	0.22997874205353805
76	((0, 2), ('3', '3'))	0.5366230497175304
77	((0, 2), ('0', '1'))	0.2109779485321866
78	((0, 2), ('1', '0'))	0.2622377096730793
79	((0, 2), ('1', '4'))	0.5366230497175304
80	((0, 2), ('0', '2'))	0.2109779485321866
81	((0, 2), ('4', '1'))	0.0
82	((0, 2), ('4', '2'))	0.0
83	((0, 2), ('1', '5'))	0.963496175262837
84	((0, 2), ('3', '1'))	0.3835145789835348
85	((0, 2), ('2', '1'))	0.3337018244974928
86	((0, 2), ('2', '2'))	0.33370182449749314
87	((0, 2), ('3', '2'))	0.963496175262837
88	((0, 2), ('1', '3'))	0.5366230497175304
89	((0, 2), ('0', '4'))	0.2109779485321866
90	((0, 2), ('0', '0'))	0.21097794853218677
91	((0, 2), 'sink')	0.0
